昵称,性别,地区,日期,评论,点赞
小原Fish,男,山东,2025-04-12 20:14:11,初二生，已经攒了92块钱了！[喜欢],29
小原Fish,男,山东,2025-04-12 20:14:11,初二生，已经攒了92块钱了！[喜欢],8
Mask_-,男,四川,2025-04-12 19:39:39,[doge_金箍][doge_金箍][doge_金箍],0
懒散de库赞,男,湖北,2025-04-12 17:58:31,最近又在回忆童年,4
AIGHXERNT砹科森特,保密,陕西,2025-04-12 15:04:22,真的吗？[思考],4
艾尔多v,男,河北,2025-04-12 12:44:19,我操，怎么感觉这个好玩啊？,6
平江精神病院刘院士,男,湖南,2025-04-12 12:17:33,玩完了还是很感动,3
肖哥投基不投机,男,浙江,2025-04-12 07:07:00,线下看完展，来发一下，震撼啊,20
昵称已存在-0_0-,保密,山东,2025-04-11 23:59:29,现在都还有二十多个人看[笑哭],16
屋檐有雪,男,河南,2025-04-11 20:30:29,谁给我个还没玩过吗喽的脑子吧,7
Biomonkey444,男,北京,2025-04-11 11:40:05,我的steam黑神话2月的更新补丁没有下载选项是什么原因,1
Bil1ieJoe,男,广东,2025-04-11 03:11:55,为什么这个时间还有八个小伙伴在跟我一起看？,6
年愁的今夜i,保密,浙江,2025-04-10 23:36:48,考古,1
尤里尤里啦,保密,广西,2025-04-10 22:36:04,[蹲蹲][蹲蹲],0
魅惑的黑圣,保密,内蒙古,2025-04-10 19:30:36,"猴哥的新展会真不错 ！！[打call]

然后希望 游戏的细节方面请再优化一下：

  预输入问题，需要改进，老是存在延迟和吞指令按不出来。

  增加游戏内字幕 自定义大小的调节功能 。有的字幕太小了，非常不方便浏览。

  小曲添加 游戏内播放功能并且可以随时切换bgm。

  披挂增加幻化的功能。",18
咪兔歪,女,河北,2025-04-10 18:03:48,再看还是泪目,3
Russell__X,男,陕西,2025-04-10 00:01:45,再看一遍还是震撼,9
我看明月叹朝气,保密,山东,2025-04-09 19:12:44,永远有人系列,3
冬月十一-,保密,湖北,2025-04-09 17:51:05,一周目过了,0
尊敬的张哥,男,四川,2025-04-09 13:30:59,我的35万,2
尊敬的张哥,男,四川,2025-04-09 13:30:48,35w,0
尊敬的张哥,男,四川,2025-04-09 13:30:42,35w我的,0
账号已注销,保密,广东,2025-04-09 11:30:25,35W我的！！！,2
账号已注销,保密,广东,2025-04-09 11:30:13,349999,1
゚゚派蒙,保密,安徽,2025-04-08 22:57:18,不是，bro现在这时候还有二十多人看第一支预告啊[笑哭],14
半拉油饼,保密,辽宁,2025-04-08 21:35:49,现在看确实是有很多东西没做出来,10
浪客blbl,保密,上海,2025-04-08 15:28:39,不是 现在还有人吗,8
清风未醉1,男,广东,2025-04-08 13:42:31,该放DLC了吧[doge],3
资本大王錫兰,男,江西,2025-04-08 09:20:21,居然还是8月20号发的[笑哭][大哭],1
特出强大,男,湖南,2025-04-08 05:39:24,回来看看,0
名字不想起XXX,保密,山东,2025-04-07 23:06:28,25年820希望有dlc,6
豪哥uuxjjj,保密,陕西,2025-04-07 17:30:26,逆天，投币比点赞高17万,12
懒散de库赞,男,湖北,2025-04-07 00:36:42,（二郎显圣真君）打得过（黄眉）吗？,7
朝-壹,男,广西,2025-04-07 00:10:35,每次想起来还是热血沸腾，热泪盈眶，赶紧回来重温,5
露-娜-酱,保密,辽宁,2025-04-06 22:51:22,回来看觉得，这时候的动作还是有点僵硬，四年来做了好多优化啊,10
时刻保持质疑8,保密,辽宁,2025-04-06 17:58:21,神！结局玩的热泪盈眶,8
_我是好人_,保密,河南,2025-04-06 09:28:17,游科，你注意了。2025的DLC实机试玩视频该放出来了,10
Weloving,保密,上海,2025-04-06 01:33:35,现在还有人我吃[doge],25
迎风-飞,保密,山西,2025-04-05 18:45:49,如果能更早些就好了  去年六月我还在大学  我可能会更开心[大哭],7
浅沐纸鸢_Kiten,保密,浙江,2025-04-05 12:27:32,太爽了老铁[星星眼][星星眼][星星眼],2
ksknsr,保密,英国,2025-04-05 07:06:21,4月回来考古,9
孙笑川逛B站,男,江苏,2025-04-05 02:52:18,任何时候都有人看系列[笑哭],19
Make载音,女,河南,2025-04-05 01:55:34,我勒个去 不会还有人吧？,10
ni左岸,男,广东,2025-04-04 23:52:12,真好啊，为了玩这个游戏花一万块配了台电脑[doge_金箍][doge_金箍],14
IAM-皓想次小酥饼,女,江西,2025-04-04 22:05:44,我的天呐，这恐怖的播放点赞投币收藏转发数量,3
夜雨づ清风,男,广东,2025-04-04 20:31:11,梦开始的地方  又回来了重温了,1
时刻保持质疑8,保密,辽宁,2025-04-04 18:06:19,令人感慨,2
永恒纪市,男,湖南,2025-04-04 11:22:24,再重温几遍,4
gl给我饿了么石榴,保密,安徽,2025-04-03 22:20:55,4.3  没人了吧[嗑瓜子],20
风起羽飞,保密,北京,2025-04-03 15:52:30,梦开始的地方,2
狐猴君,男,四川,2025-04-03 14:23:59,我还没通关，PS5玩到第三章，steam快到第三章关底了[笑哭]慢慢玩,6
徐辉先森,男,青海,2025-04-03 01:00:32,没钱只能买个268支持支持,9
吴东于衷,保密,湖南,2025-04-03 00:04:29,考古,1
cherryOoO丶,保密,黑龙江,2025-04-02 23:03:18,得了测！,0
观疏离,保密,广东,2025-04-02 17:18:21,DLC,1
-清核子-,男,海南,2025-04-02 02:39:06,[嘟嘟][嘟嘟][嘟嘟]又回来看了,2
宇哥极限,保密,甘肃,2025-04-01 23:54:09,D!L!C![抓狂],2
巫歪迩,男,吉林,2025-04-01 23:00:25,我都记不清我第几次通关了都快吐了，dlc呢[大哭],4
娜维娅索,男,湖北,2025-04-01 14:41:06,为什么没有大闹天宫？[大哭],5
NoobForever,保密,福建,2025-04-01 08:15:36,兄呀，三周目已经过完了，大圣模式也拿到了，齐天复战全部都打完了，0禁连战也是勉强过了，这dlc啥时候端上来啊？,7
雪燕夲,男,内蒙古,2025-04-01 06:38:16,不是啥玩意，20年就有了这个项目,2
微软bing,男,河北,2025-04-01 06:35:03,[Mygo表情包_让我看看],1
树生Mellifluous,女,贵州,2025-04-01 02:31:05,急急急急急急dlc急急急,1
只因爱分享,保密,天津,2025-03-31 23:21:03,https://b23.tv/KXPGvFN[tv_闭嘴],0
赛博打饼侠,保密,四川,2025-03-31 19:19:32,DLC DLC DLC...,2
明日绒绒香,女,湖北,2025-03-31 17:55:31,五年了呀,2
DATAVV,男,广东,2025-03-31 14:52:13,我的初恋[嘟嘟],8
混元世极大罗金仙,保密,江苏,2025-03-31 14:40:10,宇宙机器人：惊不惊喜，意不意外？我才是年度最佳想不到吧？[OK],2
求求了给我出个W吧,保密,广东,2025-03-31 13:26:52,现在回来看，发现剧情改动真多，还有这个宣传片里好多在游戏里没出现，不知道会不会在 dlc里面[脱单doge],3
姬小花花,保密,广东,2025-03-31 12:35:40,我生于非典，考于新冠，预告片之前入学，毕业之后发售。等了整个大学4年[doge_金箍]，值得，一切如我所料地火爆,11
雨辰-星中敬梦,男,河北,2025-03-30 23:11:27,如果看着百回本一字不落的读完西游就知道如果再写西游的故事 尤其是悟空的故事 无论是谁都想这么写 也应该这么写 这才是孙悟空 这才是对于如今广义上最正道的西游,11
烤马铃薯MC,男,广西,2025-03-30 23:00:03,坏消息：实际游戏和实机演示相差很大   好消息：实际游戏更好了[doge_金箍],15
空白的画捏,保密,河南,2025-03-30 22:16:19,今年来点dlc消息吧[星瞳·动态表情包_星星期待],4
枫花落尽恋无眠,保密,广东,2025-03-30 21:58:22,能不能重启战争艺术赤潮呀我滴游科求求啦,3
小么呢呀,保密,陕西,2025-03-30 21:57:31,实装后，和心中的期望还是有距离，大概也能理解主创的心思，奈何太多限制，希望后续dlc能圆梦吧，游科加油,3
一心笑卧,男,未知,2025-03-30 21:45:02,重新回顾一下梦开始的地方,4
-风度ゝsoory,男,江苏,2025-03-30 20:16:33,35W冲[doge_金箍],2
vpjdgsze1995,男,安徽,2025-03-30 19:55:16,最激动的是大圣那一棒，当时还以为有很多悬念呢，可惜并没有,1
行动胜于承诺,保密,山西,2025-03-30 15:37:54,还是预告第一关做得好，明显潜行元素更浓，搜捕的怪物更多，会说话而且声音很大，不像坐地上念经的，正常情况听不清念什么，有些地方小怪数量更多，需要玩家选择逃开，或者群招击毙。,2
天马刘兴,男,安徽,2025-03-30 11:41:33,赶紧更新dlc！,2
栋时,保密,河北,2025-03-30 10:00:58,[doge_金箍]来报道,7
大卫不是老外,保密,山东,2025-03-30 03:42:34,D！L！C！,2
试制型暗歌,保密,江苏,2025-03-30 01:38:11,六千多万播放留念,3
举目见日__,保密,安徽,2025-03-30 01:27:04,斗罢艰险又出发[doge_金箍],2
阿芙Channel,男,甘肃,2025-03-30 01:00:03,永远忘不了2020年第一次看到这个预告片的感动,12
满天书卷,保密,湖北,2025-03-30 00:26:01,已经快五年了,2
新曰暮里最后的希望,男,山东,2025-03-29 22:59:15,5年呀，5年,3
我最亲最亲的老公,保密,河北,2025-03-29 22:10:55,我看看到现在还有多少人还在看,9
可可尼丿,保密,山东,2025-03-29 22:03:33,国游崛起的里程碑之作,4
抢建jm350,保密,浙江,2025-03-29 19:48:46,20年已经是五年前了啊,7
夏感ll,男,黑龙江,2025-03-29 19:39:06,考古,1
懒散de库赞,男,湖北,2025-03-29 18:56:36,法天象地，太好玩了。,4
山糠野人,保密,天津,2025-03-29 18:40:12,还想继续玩新剧情[大哭]，没有真正的结果好空虚啊,1
与英语同归于尽B站版,女,广东,2025-03-29 17:10:52,梦开始的地方[猴哥][委屈],5
兔阿哉,保密,广东,2025-03-29 16:07:19,又卡关了，来记载一下,3
yuanchatr,男,重庆,2025-03-29 14:47:23,回味一下当时的激动心情,3
三进制格式塔,保密,内蒙古,2025-03-29 10:30:44,5周目打的太累，又从一周目玩了一遍,1
我池不懂鞋呀,男,河北,2025-03-29 09:11:24,靓仔，又在按时间排序啦,13
保罗杰克逊列兵,男,四川,2025-03-29 08:43:19,梦开始的地方,1
野导大鳄,男,北京,2025-03-28 21:35:51,赶紧dlc吧,7
zzzzzzxxxxxl,保密,河南,2025-03-28 20:22:21,永远有人看系列,14
等到烟火清凉n,保密,黑龙江,2025-03-27 23:32:16,DLC！,4
Jorop,男,广东,2025-03-27 21:46:35,打卡第二周目,1
静止的中微子,男,重庆,2025-03-27 20:28:21,[热词系列_妙啊],1
天马刘兴,男,安徽,2025-03-27 20:26:17,吴承恩：孩子们，我已经完了1000小时了！但是dlc还是没有出来。[生气][doge_金箍],8
星星总会相遇,女,广东,2025-03-27 20:15:30,好可怕的评论量,2
究变,男,江苏,2025-03-27 09:40:53,[调皮],33
心心可甜了,男,江苏,2025-03-27 06:39:10,期待8/20,3
NaBuls,保密,河南,2025-03-27 00:22:54,今天打到黄梅，两天玩了快25小时了，从来没这么痴迷一个游戏[笑哭],19
澹月转魄,男,辽宁,2025-03-27 00:10:05,满怀期待的四年，无法忘怀的一天，或许再也没有能比8.20更难忘的日子了,9
隐秘而伟大地活着,保密,陕西,2025-03-26 22:10:38,2025年，3月26日，周三，22:10，再来几遍,1
为什么名字只有八个字,女,浙江,2025-03-26 21:31:00,[2233娘_卖萌],1
青柠先森,男,湖北,2025-03-25 23:38:29,[2233娘_耶],2
陽咲,男,上海,2025-03-25 19:08:19,DLC端上来吧[tv_doge],3
陽咲,男,上海,2025-03-25 19:07:58,[tv_doge],1
KCL177,男,黑龙江,2025-03-25 17:48:43,这游戏不愧是国产之神，中国游戏的封神之作，我愿称之为国产之光,4
ebhar,保密,浙江,2025-03-25 16:52:14,DLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLCDLC,4
八幡海铃的屁股,保密,陕西,2025-03-25 13:23:23,游戏里少了好多实机里的 是要进dlc吗,1
Rz-1,男,广东,2025-03-25 10:36:55,回来考古。,3
世界最可爱のSaber-Lily,保密,浙江,2025-03-25 08:29:17,记得第一次看这个预告片的时候，是那个初中毕业的暑假，看到有人愿意去做一款国产3a时的激动看到一个个熟悉法术的心潮澎湃，当时发售就是豪华版入手，那几天没日没夜的玩，完全不去看任何剧透或主播玩，一心一意的只想玩通关，记得是四魔将里的球形怪卡了好久，那种过了的感觉自从当初打赢只狼的修罗连战以来已经好久没有过了，希望dlc好好打磨，尽可能避免出现第五六章这种赶工的情况，还有我知道白骨精大概率是想纪念一下当初斗战神的遗憾，但是这种私货以后就别了吧，人要往前看，一直看着过去的遗憾只会深陷泥潭无法自拔，希望游科下部作品越来越好。[猴哥][猴哥][猴哥],11
真想回2018年,男,河北,2025-03-24 22:56:15,还有人在看吗,11
小小带走我的思念,保密,广东,2025-03-24 22:05:33,太帅了太帅了,3
梦过兮,保密,天津,2025-03-24 20:18:32,当年看到这个游戏，虽然当时就对国内游戏很失望，但还是愿意相信这是真的，还好，信对了,8
英雄竞斩腰,保密,福建,2025-03-24 20:10:46,来时路啊,2
黄金精神和漆黑意志,保密,云南,2025-03-24 15:02:28,重温当时的感动,3
练青,男,黑龙江,2025-03-24 09:01:26,又想起了当年第一次看见这个片子的震撼，急忙的把这个视频分享到微信群，和刚分开大学舍友们讨论，疫情时候天天刷着看，四年的时间从一个刚毕业的大学生变成社畜，但是不变的还是那个爱玩游戏的孩子,13
中书省甲片,男,甘肃,2025-03-24 00:10:24,你,20
枫叶做嘚风铃,保密,江苏,2025-03-22 22:05:23,游科官号怎么没了[tv_大哭],2
L3_eCHAOs,保密,四川,2025-03-22 21:39:00,梦开始的地方。令人感叹[委屈],3
心心可甜了,男,江苏,2025-03-22 20:43:56,我却的DLC谁来催啊[委屈],3
测绘成果,男,浙江,2025-03-22 01:32:47,等820dlc预告[脱单doge],5
居然念出来了,男,江西,2025-03-21 00:43:48,真的永远忘不了24年820，感觉几乎所有玩家都在分享攻略，隐藏关以及自己打到了哪个boss，那种感觉真的不一样,31
魅惑的黑圣,保密,内蒙古,2025-03-20 18:38:54,"恭喜猴哥再拿新奖！！[打call]
游戏的细节方面请再优化一下：
  预输入问题，需要改进，老是存在延迟和吞指令按不出来。
  增加游戏内字幕 自定义大小的调节功能 。有的字幕太小了，非常不方便浏览。
  小曲添加 游戏内播放功能并且可以随时切换bgm。
  披挂增加幻化的功能。",13
黄昏直至黎明-,男,湖南,2025-03-20 17:41:40,[藏狐][藏狐][doge_金箍][doge_金箍],1
thoghting,保密,河南,2025-03-20 16:22:05,为啥这两天账号一直在掉粉,3
L_U_FFY,男,广东,2025-03-20 13:27:17,时不时过来看一下[doge],4
吃方便面没有调料包2,保密,吉林,2025-03-19 19:55:34,已经玩到第二回了,3
吃方便面没有调料包2,保密,吉林,2025-03-19 19:55:34,已经玩到第二回了,2
lucrwang,保密,山东,2025-03-19 16:38:21,等820dlc预告[脱单doge],6
nasn16,保密,广东,2025-03-19 15:31:00,发售半年后打卡[doge_金箍],4
中二少年有点皮丶,男,山东,2025-03-18 23:16:01,刚出的时候一天玩十几个小时，几天就通关了，跟猪八戒吃人参果一样，再出一个吧我真的玩不够[打call],9
雷电雷電,保密,重庆,2025-03-18 22:15:00,黑神话的预告是关卡顺序，第一个预告黑风山，第二个拜年黄风岭，第三个小西天，第四个剧情动画预告盘丝岭，火焰山花果山就没有单独的了，火焰山花果山比起前面四个也少了很多内容，很可惜，DLC或者续作再战！这一次，一定会不一样！,9
LYK哈,保密,天津,2025-03-18 21:29:43,[doge_金箍][doge_金箍][doge_金箍],0
Mask_-,男,四川,2025-03-18 19:49:49,[猴哥][猴哥][猴哥],1
玄泽羽萧,保密,福建,2025-03-18 00:59:36,实际上剧情没必要融合斗战神，太多于了，西游记原著能改编的东西挺多的[吃瓜],4
-清核子-,男,海南,2025-03-17 23:35:56,这个评论区，你看了几遍了？靓仔~按时间又来看咯？,8
乐神奏心声,保密,湖北,2025-03-17 21:00:11,按时间,8
回眸风尘散,保密,德国,2025-03-17 10:36:12,梦开始的地方,8
麻匪MAFIA,男,四川,2025-03-17 09:44:10,等DLC,5
薛定谔的赛先生,男,上海,2025-03-17 01:06:33,轻舟已过万重山,7
住在b站的李小白,男,安徽,2025-03-17 00:09:18,太厉害了,3
爱海贼的老王,男,河南,2025-03-16 18:23:31,哟！你也是按时间来翻评论的啊？[doge][doge],20
想了好久冷静,男,江西,2025-03-16 11:43:20,这一等就是四年,5
撸奕只猫,保密,福建,2025-03-15 21:33:05,这音乐和美术，是最对我胃口的游戏了,7
我為人間客,男,江苏,2025-03-15 17:38:37,轻舟已过万重山[大哭][大哭][大哭],13
杠开清一色,男,江苏,2025-03-15 01:24:43,DLC一定要好好打磨呀，发售以来节奏没有断过，黑猴吧一些好的建议你们要好好看看，不要再出现第六章那样的情况了,16
突如流星,男,广东,2025-03-15 01:24:17,今天通关了，打卡,3
遇到爱就是家乡,男,福建,2025-03-14 16:55:38,可怕的35万评论[辣眼睛],6
账号已注销,保密,安徽,2025-03-14 16:53:40,久有凌云志，重上花果山,8
星之卡比捏捏,女,四川,2025-03-14 16:09:31,居然是八月二十号发的这个视频，四年呐,4
最终幻想之旅,保密,四川,2025-03-14 14:53:41,PS今日通关留念,16
黑化的芒果S,保密,河北,2025-03-14 01:46:21,全成就了，特地来这个视频感慨一下[鼓掌],3
明日绒绒香,女,湖北,2025-03-13 21:39:49,继续行走在自己的西行之路上吧，稳扎稳打步步为营，慢点也没关系，质量保持住[以闪亮之名_吃瓜],3
太阳起司FPV,男,云南,2025-03-13 10:41:20,回来了，梦开始的地方,10
靓树萌萌果,男,甘肃,2025-03-12 16:35:35,"这两天咋了呀，为什么一打开游戏就要着色器编译啊？每次打开游戏都是。我用的epic平台。
请问steam和wegame还有ps的小伙伴，你们这几天也是这样吗？[捂脸]",12
改个名就6硬币,保密,湖南,2025-03-12 12:32:59,什么时候出个昆特牌的东西,2
二月春风666,男,澳大利亚,2025-03-12 06:10:30,我们终于成为了自己的齐天大圣…,5
我dway我tawa,保密,浙江,2025-03-11 20:18:55,看着以前的人发着评论，突然有种想笑的感觉，这种感觉就像是长大的时候看自己小时候的黑历史[笑哭],23
我dway我tawa,保密,浙江,2025-03-11 20:17:52,哪一个男孩子没有一颗做大圣的决心呢？[doge],3
风月無邊-逍遙遊,保密,广东,2025-03-11 20:12:27,常看常新,5
风月無邊-逍遙遊,保密,广东,2025-03-11 20:12:27,常看常新,7
举个力子,保密,江苏,2025-03-11 11:43:03,很好，但没那么好。,11
起灵一剑,男,陕西,2025-03-11 02:05:08,[doge_金箍][doge_金箍][doge_金箍],1
长安彼氏,保密,河南,2025-03-11 00:49:18,一周目卡无限法力好多支线没过，二周目再慢慢来[脸红],1
JKlove250,保密,安徽,2025-03-10 23:55:57,猴哥,10
进化行动派的DJR,男,福建,2025-03-10 23:41:52,时间如白驹过隙……朋友们，当你认为有什么是自己必须要去完成的，就要竭尽全力去实现它！！！,6
公孙璞,保密,河南,2025-03-10 23:32:35,所以“白骨之后”的意思是“亡故以后”？之前有人说是大圣和白骨精生的猴子重走西游，简直野的不得了[笑哭],2
太多形容_,保密,湖南,2025-03-10 22:06:40,太帅了！！！,1
老痰不是老坛,保密,江西,2025-03-10 21:17:00,我会永远怀念游戏发售前，游科和贴吧老哥互相视奸的那段日子，真的太有趣太美好了[喜极而泣]，看到游戏结尾的特别鸣谢里有黑神话吧时，那种感觉太棒了！双向奔赴啊！,20
难以学习,保密,四川,2025-03-10 20:42:18,我是穿越的，游戏很好玩,5
懒洋洋大王AOA,保密,江苏,2025-03-10 11:41:34,我的东海龙宫和狮驼岭呢快端上来吧,2
这天杀的ID,女,山西,2025-03-10 02:45:23,[千恋万花表情包_丛雨Ciallo],10
independence12,保密,上海,2025-03-09 15:41:24,"笑死 好东西全放预告上了[大笑]
后边的勾式五六章和闹谭阴谋论
给满怀期待的玩家拉了坨大的",11
逢坂大河11,保密,浙江,2025-03-09 12:49:22,@Tuff_4@你的输卵管@阿娜米子,1
任行墨,男,山西,2025-03-09 06:09:03,"四年前这个游戏出现，两年前我去小西天看了看。
现在我躺在床上，不知道应该做什么。
可能走在去往西天的路上会很难。但令人可笑的是，我踩在一块平地上，没有目标，没有方向。
我甚至没有梦想，没有想过自己要成为什么样的人。
我甚至连自己第二天应该做什么都不知道。
我不知道如何让自己快乐。
我的脑海在这一刻出现了一个想法，我是否应该考虑死亡？
毕竟就算我死了，对这个世界毫无影响。",12
明日绒绒香,女,湖北,2025-03-09 00:27:49,里程碑，祝越来越好[拥抱],6
艾尼德普色,男,重庆,2025-03-08 23:36:08,人生幸好有游戏,10
8班的小外卡,保密,浙江,2025-03-08 16:44:50,永远忘不了那一天的震撼，还有那满怀期待的四年,30
牛逼克拉斯飞天,保密,广东,2025-03-08 14:54:52,bro搞了4年,1
澹月转魄,男,辽宁,2025-03-08 01:18:20,永远忘不了那一天的震撼，还有那满怀期待的四年,11
请叫我滋滋滋,保密,山东,2025-03-07 19:29:51,断断续续一周目已经结束了，在过二周目[doge_金箍],12
司徒诗诗ST,男,山东,2025-03-07 08:12:32,轻舟已过万重山,16
灿灿飞舞之间,保密,湖南,2025-03-07 01:51:04,20年，好似梦一场...,6
